Muscles involved,Joints involved,Muscle area
Sternocleidomastoid,Cervical spine,Neck anterior
Longus colli,Thoracic spine,Neck lateral
Longus capitis,Upper thoracic spine,Neck posterior
rectus captis anterior,Mid thoracic spine,Shoulder anterior
rectus captis lateral,Lower thoracic spine,Shoulder posterior
Scalenes,Lumbar spine,Shoulder lateral
Levator scapulae,Shoulder,Chest
Upper trapezius,Elbow,Upper arm anterior
Middle trapezius,Wrist,Upper arm posterior
Lower trapezius,Thumb,Forearm anterior
Rhomboids,Finger,Forearm posterior
Serratus anterior,Metacarpophalangeal,Wrist flexors
Rectus abdominus,Proximal interpahalangeal,Wrist extensors
External abdominal oblique,Distal interpahalngeal,Wrist ulnar deviators
Internal abdominal oblique,Hip,Wrist radial deviators
Transversus abdominus,Knee,Forearm pronators
Pyramidalis,Ankle,Forearm supinators
Quadratus lumborum,Sub-talar,Finger flexors
Iliocostalis lumborum,Midfoot,Finger extensors
Iliocostalis thoracic,Tarso-metatarsal,Finger abductors
Iliocostalis capitus,,Finger adductors
Longissimuss colli,,Thumb flexors
Longissimuss thoracis,,Thumb extensors
Longissimuss thoracis pars lumborum,,Thumb adductors
Spinalis capitus,,Thumb Abductors
Spinalis colli,,Abdominal - central
Spinalis thoracis,,Abdominal - lateral
Multifidus lumborum,,Spinal extensors middle
Multifidus thoracis,,Spinal extensors lower
Multifidus colli,,Gluteal - posterior
Rotatores long 1-11,,Gluteals - lateral
Rotatores short 1-11,,Hip flexors
Rotatores lumborum,,Hip lateral rotators
Rotatores colli,,Hip medial rotators
Levator costorum,,Adductors
Serratus posterior inferior,,Hamstrings
Serratus posterior superior,,Quadriceps
Pectoralis major,,Foot and toe extensors
Pectoralis minor,,Calf
Subclavius,,Foot intrinsics
Deltoid anterior,,Ankle evertors
Deltoid middle,,Ankle invertors
Deltoid posterior,,Scapular medial
Teres major,,Latissimus dorsi
Teres minor,,
Infraspinatus,,
Supraspinatus,,
Subscapularis,,
Biceps brachii,,
Brachialis,,
Triceps brachii,,
Anconeus,,
Pronator teres,,
Flexor carpi radialis,,
Palmaris longus,,
Flexor carpi ulnaris,,
Flexor digitorum profundus,,
Flexor digitorum superficialis,,
Flexor pollicis longus,,
Extensor digitorum,,
Extensor digiti minimi,,
Extensor carpi ulnaris,,
Extensor carpi radialis longus,,
Extensor carpi radialis brevis,,
Supinator,,
Extensor indicis,,
Abductor pollicis brevis,,
Abductor pollicis longus,,
Extensor pollicis longus,,
Opponens pollicis,,
Flexor pollicis brevis,,
Abductor digiti minimi (hand),,
Lumbricales of the hand 1-4,,
Dorsal interossei hand 1-4,,
Palmar interossei hand 1-3,,
Psoas major,,
Psoas minor,,
Iliacus,,
Tensor fasciae latae,,
Gluteus maximus,,
Gluteus medius,,
Gluteus minimus,,
Piriformis,,
Obturator internus,,
Obturator externus,,
Gemellus inferior,,
Gemellus superior,,
Quadratus femoris,,
Vastus lateralis,,
Vastus medialis,,
Vastus intermedius,,
Rectus femoris,,
Biceps femoris,,
Semitendinosus,,
Semimembranosus,,
Gracilis,,
Adductor brevis,,
Adductor longus,,
Adductor magnus - adductor part,,
Adductor magnus - ischiocondylar part,,
Tibialis anterior,,
Extensor hallucis longus,,
Extensor digitorum longus,,
Peroneus tertius,,
Peroneus longus,,
Peroneus brevis,,
Tibialis posterior,,
Extensor digitorum brevis,,
Extensor hallucis brevis,,
Dorsal interossei foot 1-4,,
Abductor hallucis,,
flexor digitorum brevis,,
Abductor digiti minimi (foot),,
Abductor of fifth metatarsal,,
Quadratus plantae,,
Lumbricales of the foot 1-4,,
Flexor hallucis brevis,,
Adductor hallucis,,
Flexor digiti minimi brevis (foot),,
Opponens digiti minimi (foot),,
Plantar interossei 1-3,,
