Muscles involved,Joints involved,Muscle area,Streams,Equipment,Planes of movement Hip,Planes of movement knee,Planes of movement ankle,Planes of movement midfoot,Planes of movement toes,Planes of movement Shoulder,Planes of movement Elbow,Planes of movement Wrist,Planes of movement MCP,Planes of movement fingers,Planes of movement Cervical,Planes of movement Thoracic,Planes of movement Lumbar,Body position,Difficulty,Level,SBU
Sternocleidomastoid,Cervical spine,Neck anterior,,Smith machine,Frontal,Frontal,Frontal,Frontal,Frontal,Frontal,Frontal,Frontal,Frontal,Frontal,Frontal,Frontal,Frontal,Standing,0,,Aspire
Longus colli,Thoracic spine,Neck lateral,,Dumb bell,Saggital,Saggital,Saggital,Saggital,Saggital,Saggital,Saggital,Saggital,Saggital,Saggital,Saggital,Saggital,Saggital,Kneeling,1,,Aspetar
Longus capitis,Upper thoracic spine,Neck posterior,,Barbell,Transverse,Transverse,Transverse,Transverse,Transverse,Transverse,Transverse,Transverse,Transverse,Transverse,Transverse,Transverse,Transverse,Supine,2,,
rectus captis anterior,Mid thoracic spine,Shoulder anterior,,Kettlebell,,,,,,,,,,,,,,Prone,3,,
rectus captis lateral,Lower thoracic spine,Shoulder posterior,,Exercise bike,,,,,,,,,,,,,,Crook Lying,4,,
Scalenes,Lumbar spine,Shoulder lateral,,Treadmill,,,,,,,,,,,,,,Wide stance,5,,
Levator scapulae,Shoulder,Chest,,Elliptical,,,,,,,,,,,,,,Narrow stance,6,,
Upper trapezius,Elbow,Upper arm anterior,,Assault bike,,,,,,,,,,,,,,Split stance,7,,
Middle trapezius,Wrist,Upper arm posterior,,Rower,,,,,,,,,,,,,,Leaning forward against wall,8,,
Lower trapezius,Thumb,Forearm anterior,,Ski ergometer,,,,,,,,,,,,,,Leaning backwards against wall,9,,
Rhomboids,Finger,Forearm posterior,,Stepper,,,,,,,,,,,,,,Single leg stance,10,,
Serratus anterior,Metacarpophalangeal,Wrist flexors,,Flywheel,,,,,,,,,,,,,,Single leg stance on toes,,,
Rectus abdominus,Proximal interpahalangeal,Wrist extensors,,Total gym,,,,,,,,,,,,,,Split stance rear leg elevated,,,
External abdominal oblique,Distal interpahalngeal,Wrist ulnar deviators,,Alter-G,,,,,,,,,,,,,,,,,
Internal abdominal oblique,Hip,Wrist radial deviators,,Sled,,,,,,,,,,,,,,,,,
Transversus abdominus,Knee,Forearm pronators,,Isokinetic machine,,,,,,,,,,,,,,,,,
Pyramidalis,Ankle,Forearm supinators,,Bosu,,,,,,,,,,,,,,,,,
Quadratus lumborum,Sub-talar,Finger flexors,,Gym ball,,,,,,,,,,,,,,,,,
Iliocostalis lumborum,Midfoot,Finger extensors,,Elastic,,,,,,,,,,,,,,,,,
Iliocostalis thoracic,Tarso-metatarsal,Finger abductors,,Pulley,,,,,,,,,,,,,,,,,
Iliocostalis capitus,,Finger adductors,,Flat bench,,,,,,,,,,,,,,,,,
Longissimuss colli,,Thumb flexors,,Incline bench,,,,,,,,,,,,,,,,,
Longissimuss thoracis,,Thumb extensors,,Decline bench,,,,,,,,,,,,,,,,,
Longissimuss thoracis pars lumborum,,Thumb adductors,,Foam roller,,,,,,,,,,,,,,,,,
Spinalis capitus,,Thumb Abductors,,Massage gun,,,,,,,,,,,,,,,,,
Spinalis colli,,Abdominal - central,,Box,,,,,,,,,,,,,,,,,
Spinalis thoracis,,Abdominal - lateral,,Medicine ball,,,,,,,,,,,,,,,,,
Multifidus lumborum,,Spinal extensors middle,,Jacobs ladder,,,,,,,,,,,,,,,,,
Multifidus thoracis,,Spinal extensors lower,,Hydro pool,,,,,,,,,,,,,,,,,
Multifidus colli,,Gluteal - posterior,,Pool,,,,,,,,,,,,,,,,,
Rotatores long 1-11,,Gluteals - lateral,,Battle ropes,,,,,,,,,,,,,,,,,
Rotatores short 1-11,,Hip flexors,,Foam pad,,,,,,,,,,,,,,,,,
Rotatores lumborum,,Hip lateral rotators,,Wobble-board,,,,,,,,,,,,,,,,,
Rotatores colli,,Hip medial rotators,,Slideboard,,,,,,,,,,,,,,,,,
Levator costorum,,Adductors,,Powerweb,,,,,,,,,,,,,,,,,
Serratus posterior inferior,,Hamstrings,,Putty,,,,,,,,,,,,,,,,,
Serratus posterior superior,,Quadriceps,,Total Gym,,,,,,,,,,,,,,,,,
Pectoralis major,,Foot and toe extensors,,Gyroscopic ball,,,,,,,,,,,,,,,,,
Pectoralis minor,,Calf,,Waterbag,,,,,,,,,,,,,,,,,
Subclavius,,Foot intrinsics,,1080 Motion,,,,,,,,,,,,,,,,,
Deltoid anterior,,Ankle evertors,,Cones,,,,,,,,,,,,,,,,,
Deltoid middle,,Ankle invertors,,TR-X,,,,,,,,,,,,,,,,,
Deltoid posterior,,,,Roman chair,,,,,,,,,,,,,,,,,
Teres major,,,,Weight plate,,,,,,,,,,,,,,,,,
Teres minor,,,,Football,,,,,,,,,,,,,,,,,
Infraspinatus,,,,Volleyball,,,,,,,,,,,,,,,,,
Supraspinatus,,,,Handball,,,,,,,,,,,,,,,,,
Subscapularis,,,,Weighted ball,,,,,,,,,,,,,,,,,
Biceps brachii,,,,Water polo ball,,,,,,,,,,,,,,,,,
Brachialis,,,,Pull-up bar,,,,,,,,,,,,,,,,,
Triceps brachii,,,,Hack squat,,,,,,,,,,,,,,,,,
Anconeus,,,,leg press,,,,,,,,,,,,,,,,,
Pronator teres,,,,Knee extension machine,,,,,,,,,,,,,,,,,
Flexor carpi radialis,,,,Prone knee flexion machine,,,,,,,,,,,,,,,,,
Palmaris longus,,,,Seated calf raise machine,,,,,,,,,,,,,,,,,
Flexor carpi ulnaris,,,,Standing calf raise machine,,,,,,,,,,,,,,,,,
Flexor digitorum profundus,,,,Battle ropes,,,,,,,,,,,,,,,,,
Flexor digitorum superficialis,,,,Corestix,,,,,,,,,,,,,,,,,
Flexor pollicis longus,,,,Crossover cable,,,,,,,,,,,,,,,,,
Extensor digitorum,,,,Standing hip abduction machine,,,,,,,,,,,,,,,,,
Extensor digiti minimi,,,,Standing hip adduction machine,,,,,,,,,,,,,,,,,
Extensor carpi ulnaris,,,,Standing hip flexion machine,,,,,,,,,,,,,,,,,
Extensor carpi radialis longus,,,,Standing hip extension machine,,,,,,,,,,,,,,,,,
Extensor carpi radialis brevis,,,,Seated hip adduction machine,,,,,,,,,,,,,,,,,
Supinator,,,,Seated hip abduction machine,,,,,,,,,,,,,,,,,
Extensor indicis,,,,Booty building,,,,,,,,,,,,,,,,,
Abductor pollicis brevis,,,,Hip thrust machine,,,,,,,,,,,,,,,,,
Abductor pollicis longus,,,,Ladders - floor,,,,,,,,,,,,,,,,,
Extensor pollicis longus,,,,Pull down machine,,,,,,,,,,,,,,,,,
Opponens pollicis,,,,Assisted dip machine,,,,,,,,,,,,,,,,,
Flexor pollicis brevis,,,,Landmine attachment,,,,,,,,,,,,,,,,,
Abductor digiti minimi (hand),,,,Trap bar,,,,,,,,,,,,,,,,,
Lumbricales of the hand 1-4,,,,EZ Curl bar,,,,,,,,,,,,,,,,,
Dorsal interossei hand 1-4,,,,Preacher curl bench,,,,,,,,,,,,,,,,,
Palmar interossei hand 1-3,,,,Plyo boxes,,,,,,,,,,,,,,,,,
Psoas major,,,,Skipping rope,,,,,,,,,,,,,,,,,
Psoas minor,,,,Weighted vest,,,,,,,,,,,,,,,,,
Iliacus,,,,45 degree hip extension machine,,,,,,,,,,,,,,,,,
Tensor fasciae latae,,,,Ab roller,,,,,,,,,,,,,,,,,
Gluteus maximus,,,,Gymnastic rings,,,,,,,,,,,,,,,,,
Gluteus medius,,,,,,,,,,,,,,,,,,,,,
Gluteus minimus,,,,,,,,,,,,,,,,,,,,,
Piriformis,,,,,,,,,,,,,,,,,,,,,
Obturator internus,,,,,,,,,,,,,,,,,,,,,
Obturator externus,,,,,,,,,,,,,,,,,,,,,
Gemellus inferior,,,,,,,,,,,,,,,,,,,,,
Gemellus superior,,,,,,,,,,,,,,,,,,,,,
Quadratus femoris,,,,,,,,,,,,,,,,,,,,,
Vastus lateralis,,,,,,,,,,,,,,,,,,,,,
Vastus medialis,,,,,,,,,,,,,,,,,,,,,
Vastus intermedius,,,,,,,,,,,,,,,,,,,,,
